,id,original_title,title,original_language,overview,release_date,popularity,vote_count,vote_average,runtime,adult,genre_names
246,30497,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,en,"When Sally hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin, set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface, who wears a mask of human skin, the survivors must do everything they can to escape.",1974-10-01,57.809,2525,7.3,83,FALSE,Horror
247,793967,Phobias,Phobias,en,"Five dangerous patients, suffering from extreme phobias at a government testing facility, are put to the ultimate test under the supervision of a crazed doctor and his quest to weaponize fear.",2021-02-28,57.696,35,5.2,85,FALSE,"Horror, Thriller"
248,22970,The Cabin in the Woods,The Cabin in the Woods,en,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2012-04-12,57.429,6741,6.6,95,FALSE,"Fantasy, Horror"
249,732713,Evil Eye,Evil Eye,en,A seemingly perfect romance turns dark when a mother becomes convinced her daughter’s new boyfriend has a sinister connection to her own past.,2020-04-01,57.106,135,5.5,90,FALSE,"Horror, Mystery, Thriller"
250,714277,La funeraria,The Funeral Home,es,"Bernardo is an undertaker. He runs his mortuary business in the same house where he resides. In the front, he has his clients. And in the back, his dysfunctional family lives amongst coffins, wreaths, and the mischievous but nonviolent ghosts that visit on a daily basis. But when a malevolent entity enters the scene, it wreaks havoc on the already fractured household.",2021-04-15,56.856,24,4.5,86,FALSE,Horror
251,611651,Sator,Sator,en,"Secluded in a desolate forest, a broken family is observed by Sator, a supernatural entity who is attempting to claim them.",2019-07-21,56.6,84,5.2,85,FALSE,Horror
252,1091,The Thing,The Thing,en,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.",1982-06-25,56.545,5566,8,109,FALSE,"Horror, Mystery, Science Fiction"
253,441701,Verónica,Veronica,es,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",2017-08-25,56.39,1474,6.2,105,FALSE,Horror
254,406563,Insidious: The Last Key,Insidious: The Last Key,en,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",2018-01-03,56.103,2313,6.2,103,FALSE,"Horror, Mystery, Thriller"
255,839678,Unhuman,Unhuman,en,"After their school bus crashes, a group of high school students is thrown into a terrifying fight for survival as they try to take down a group of unhuman savages… before they kill each other first.",2022-06-03,56,59,5.7,87,FALSE,"Comedy, Horror"
256,675327,Shadow in the Cloud,Shadow in the Cloud,en,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,2020-12-31,55.991,652,5.7,83,FALSE,"Action, Horror, War"
257,76617,Texas Chainsaw 3D,Texas Chainsaw 3D,en,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",2013-01-03,55.817,1346,5.5,92,FALSE,"Horror, Thriller"
